,rank,bib,rider,age,team,uci,point,time,stage,year
1,1,12,ASGREEN Kasper,26,Deceuninck - Quick Step,500,275,6:02:12,None,2021
2,2,1,VAN DER POEL Mathieu,26,Alpecin-Fenix,400,200,6:02:12,None,2021
3,3,21,VAN AVERMAET Greg,35,AG2R Citroën Team,325,150,6:02:44,None,2021
4,4,51,STUYVEN Jasper,28,Trek - Segafredo,275,120,6:02:45,None,2021
5,5,81,VANMARCKE Sep,32,Israel Start-Up Nation,225,100,6:02:59,None,2021
6,6,31,VAN AERT Wout,26,Team Jumbo-Visma,175,90,6:02:59,None,2021
7,7,6,VERMEERSCH Gianni,28,Alpecin-Fenix,150,80,6:02:59,None,2021
8,8,246,TURGIS Anthony,26,Team Total Direct Energie,125,70,6:02:59,None,2021
9,9,15,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,100,60,6:02:59,None,2021
10,10,177,VAN BAARLE Dylan,28,INEOS Grenadiers,85,50,6:02:59,None,2021
11,11,141,LAPORTE Christophe,28,"Cofidis, Solutions Crédits",70,46,6:02:59,None,2021
12,12,91,BENOOT Tiesj,27,Team DSM,60,42,6:03:01,None,2021
13,13,122,CLAEYS Dimitri,33,Team Qhubeka ASSOS,50,38,6:04:27,None,2021
14,14,63,BURGHARDT Marcus,37,BORA - hansgrohe,40,34,6:04:27,None,2021
15,15,61,SAGAN Peter,31,BORA - hansgrohe,35,30,6:04:27,None,2021
16,16,182,VAN POPPEL Danny,27,Intermarché - Wanty - Gobert Matériaux,30,28,6:04:27,None,2021
17,17,16,LAMPAERT Yves,29,Deceuninck - Quick Step,30,26,6:04:27,None,2021
18,18,111,KRISTOFF Alexander,33,UAE-Team Emirates,30,24,6:04:27,None,2021
19,19,86,VAN ASBROECK Tom,30,Israel Start-Up Nation,30,22,6:04:27,None,2021
20,20,155,HAUSSLER Heinrich,37,Bahrain - Victorious,30,20,6:04:27,None,2021
21,21,101,MATTHEWS Michael,30,Team BikeExchange,20,19,6:04:27,None,2021
22,22,65,POLITT Nils,27,BORA - hansgrohe,20,18,6:04:27,None,2021
23,23,191,GARCÍA CORTINA Iván,25,Movistar Team,20,17,6:04:27,None,2021
24,24,83,HOFSTETTER Hugo,27,Israel Start-Up Nation,20,16,6:04:27,None,2021
25,25,47,WELLENS Tim,29,Lotto Soudal,20,15,6:04:27,None,2021
26,26,82,BIERMANS Jenthe,25,Israel Start-Up Nation,20,14,6:04:27,None,2021
27,27,126,WALSCHEID Max,27,Team Qhubeka ASSOS,20,13,6:04:27,None,2021
28,28,71,BETTIOL Alberto,27,EF Education - Nippo,20,12,6:04:27,None,2021
29,29,235,RUSSO Clément,26,Team Arkéa Samsic,20,11,6:04:27,None,2021
30,30,41,DEGENKOLB John,32,Lotto Soudal,20,10,6:04:27,None,2021
31,31,212,LIVYNS Arjen,26,Bingoal Pauwels Sauces WB,10,9,6:04:27,None,2021
32,32,247,VAN GESTEL Dries,26,Team Total Direct Energie,10,8,6:04:27,None,2021
33,33,23,NAESEN Oliver,30,AG2R Citroën Team,10,7,6:04:27,None,2021
34,34,181,DE GENDT Aimé,26,Intermarché - Wanty - Gobert Matériaux,10,6,6:04:27,None,2021
35,35,152,TEUNS Dylan,29,Bahrain - Victorious,10,5,6:04:27,None,2021
36,36,231,BARGUIL Warren,29,Team Arkéa Samsic,10,5,6:04:32,None,2021
37,37,113,BYSTRØM Sven Erik,29,UAE-Team Emirates,10,5,6:04:32,None,2021
38,38,121,CAMPENAERTS Victor,29,Team Qhubeka ASSOS,10,5,6:04:32,None,2021
39,39,166,MADOUAS Valentin,24,Groupama - FDJ,10,5,6:04:32,None,2021
40,40,154,HALLER Marco,30,Bahrain - Victorious,10,5,6:04:36,None,2021
41,41,171,PIDCOCK Thomas,21,INEOS Grenadiers,10,5,6:04:47,None,2021
42,42,11,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,10,5,6:04:47,None,2021
43,43,123,GOGL Michael,27,Team Qhubeka ASSOS,10,5,6:05:04,None,2021
44,44,161,KÜNG Stefan,27,Groupama - FDJ,10,5,6:05:31,None,2021
45,45,192,NORSGAARD Mathias,23,Movistar Team,10,5,6:05:31,None,2021
46,46,207,LEMOINE Cyril,38,B&B Hotels p/b KTM,10,5,6:05:31,None,2021
47,47,221,BEULLENS Cédric,24,Sport Vlaanderen - Baloise,10,5,6:06:12,None,2021
48,48,203,BARTHE Cyril,25,B&B Hotels p/b KTM,10,5,6:06:12,None,2021
49,49,2,DE BONDT Dries,29,Alpecin-Fenix,10,5,6:06:12,None,2021
50,50,22,DEWULF Stan,23,AG2R Citroën Team,10,5,6:06:12,None,2021
51,51,106,STANNARD Robert,22,Team BikeExchange,5,5,6:06:12,None,2021
52,52,162,GENIETS Kevin,24,Groupama - FDJ,5,5,6:06:12,None,2021
53,53,26,TOUZÉ Damien,24,AG2R Citroën Team,5,5,6:06:12,None,2021
54,54,175,HAYTER Ethan,22,INEOS Grenadiers,5,5,6:06:12,None,2021
55,55,151,COLBRELLI Sonny,30,Bahrain - Victorious,5,5,6:06:12,None,2021
56,56,117,OLIVEIRA Rui,24,UAE-Team Emirates,3,5,6:06:12,None,2021
57,57,116,TRENTIN Matteo,31,UAE-Team Emirates,3,5,6:11:12,None,2021
58,58,94,KRAGH ANDERSEN Søren,26,Team DSM,3,5,6:11:12,None,2021
59,59,57,THEUNS Edward,29,Trek - Segafredo,3,5,6:11:12,None,2021
60,60,227,WILLEMS Thimo,25,Sport Vlaanderen - Baloise,3,5,6:11:12,None,2021
61,61,142,ALLEGAERT Piet,26,"Cofidis, Solutions Crédits",,5,6:11:12,None,2021
62,62,36,VAN HOOYDONCK Nathan,25,Team Jumbo-Visma,,5,6:11:12,None,2021
63,63,92,DENZ Nico,27,Team DSM,,5,6:11:12,None,2021
64,64,114,GIBBONS Ryan,26,UAE-Team Emirates,,5,6:11:12,None,2021
65,65,163,LE GAC Olivier,27,Groupama - FDJ,,5,6:11:12,None,2021
66,66,194,HOLLMANN Juri,21,Movistar Team,,5,6:11:12,None,2021
67,67,197,SERRANO Gonzalo,26,Movistar Team,,5,6:11:12,None,2021
68,68,147,WALLAYS Jelle,31,"Cofidis, Solutions Crédits",,5,6:11:12,None,2021
69,69,217,WIRTGEN Luc,22,Bingoal Pauwels Sauces WB,,5,6:11:12,None,2021
70,70,137,PERRY Benjamin,27,Astana - Premier Tech,,5,6:11:12,None,2021
71,71,213,PAASSCHENS Mathijs,25,Bingoal Pauwels Sauces WB,,5,6:11:12,None,2021
72,72,174,GOŁAŚ Michał,36,INEOS Grenadiers,,5,6:11:12,None,2021
73,73,237,SWIFT Connor,25,Team Arkéa Samsic,,5,6:11:12,None,2021
74,74,185,VAN POPPEL Boy,33,Intermarché - Wanty - Gobert Matériaux,,5,6:11:12,None,2021
75,75,17,VAN LERBERGHE Bert,28,Deceuninck - Quick Step,,5,6:11:12,None,2021
76,76,127,WIŚNIOWSKI Łukasz,29,Team Qhubeka ASSOS,,5,6:11:12,None,2021
77,77,234,LOUVEL Matis,21,Team Arkéa Samsic,,5,6:11:12,None,2021
78,78,195,JACOBS Johan,24,Movistar Team,,5,6:11:12,None,2021
79,79,134,HOULE Hugo,30,Astana - Premier Tech,,5,6:11:12,None,2021
80,80,216,VANENDERT Jelle,36,Bingoal Pauwels Sauces WB,,5,6:11:12,None,2021
81,81,133,GRUZDEV Dmitriy,35,Astana - Premier Tech,,5,6:11:12,None,2021
82,82,102,BAUER Jack,35,Team BikeExchange,,5,6:11:12,None,2021
