"id","name","vision","composure","acceleration","speed","stamina","strength","balance","agility","jumping","heading"
1,"Cristiano Ronaldo",85,86,91,92,92,80,63,90,95,85
2,"Lionel Messi",90,94,92,87,74,59,95,90,68,71
3,"Neymar",80,80,93,90,79,49,82,96,61,62
4,"Luis Suárez",84,83,88,77,89,76,60,86,69,77
5,"Manuel Neuer",70,70,58,61,44,83,35,52,78,25
6,"De Gea",68,60,56,56,25,64,43,57,67,21
7,"Robert Lewandowski",78,87,79,82,79,84,79,78,84,85
8,"Gareth Bale",79,85,93,95,78,80,65,77,85,86
9,"Zlatan Ibrahimovic",83,91,69,74,75,93,41,86,72,80
10,"Thibaut Courtois",44,52,46,52,38,70,45,61,68,13
11,"Jérôme Boateng",76,86,74,81,75,91,54,58,75,86
12,"Eden Hazard",86,86,93,87,77,65,90,92,59,57
13,"Luka Modric",90,76,77,71,83,58,94,93,67,55
14,"Mesut Özil",93,73,77,68,68,56,70,84,52,54
15,"Gonzalo Higuaín",70,84,79,81,73,85,69,75,77,80
16,"Thiago Silva",74,80,72,76,74,81,68,75,93,82
17,"Sergio Ramos",63,76,77,78,84,81,60,80,92,90
18,"Sergio Agüero",83,90,92,86,74,73,90,86,80,68
19,"Paul Pogba",86,83,75,79,91,91,61,79,85,73
20,"Antoine Griezmann",76,81,87,86,75,61,80,90,87,80
21,"Kevin De Bruyne",88,84,76,78,85,73,75,78,65,53
22,"Marco Reus",86,82,89,91,73,67,82,87,72,51
23,"Alexis Sánchez",82,82,88,84,85,72,87,90,85,70
24,"Toni Kroos",88,85,55,37,78,74,62,70,34,54
25,"Diego Godín",52,80,62,67,69,80,58,63,89,92
26,"Mats Hummels",79,91,62,65,66,85,58,64,68,90
27,"Hugo Lloris",30,64,65,63,41,43,54,55,74,10
28,"Giorgio Chiellini",50,78,69,79,69,91,65,59,89,80
29,"Philipp Lahm",82,94,68,67,79,59,93,82,72,63
30,"Pepe",48,68,65,75,64,84,49,63,76,82
31,"Petr Cech",53,70,42,50,32,65,34,49,51,19
32,"Gianluigi Buffon",50,80,49,43,39,69,49,55,75,13
33,"Iniesta",94,88,74,73,64,59,86,82,54,54
34,"Jan Oblak",55,55,43,60,41,78,49,67,76,15
35,"James Rodríguez",86,79,77,75,68,70,73,82,54,62
36,"Pierre-Emerick Aubameyang",77,79,95,96,79,77,69,80,77,79
37,"Leonardo Bonucci",74,82,65,75,73,85,55,61,85,84
38,"Arturo Vidal",80,86,77,74,93,79,77,75,82,81
39,"Ivan Rakitic",87,81,67,65,76,63,66,71,51,58
40,"David Silva",92,92,72,65,68,56,88,92,66,54
41,"Samir Handanovic",41,72,54,57,41,71,36,42,78,10
42,"Piqué",62,76,56,73,69,83,44,58,74,83
43,"Arjen Robben",83,86,87,86,68,65,91,89,61,51
44,"Paulo Dybala",82,82,91,86,81,65,85,91,75,68
45,"Marco Verratti",86,91,72,64,77,56,94,87,64,55
46,"David Alaba",78,79,86,86,87,69,77,82,82,75
47,"Henrikh Mkhitaryan",85,67,86,84,85,63,83,88,72,53
48,"Bernd Leno",53,62,46,52,43,68,44,52,73,13
49,"Thomas Müller",81,83,76,79,90,67,72,77,81,82
50,"Sergio Busquets",84,82,53,33,88,77,55,58,66,68
51,"Thiago",85,81,77,68,74,59,85,90,75,58
52,"Jordi Alba",68,75,93,93,90,66,86,90,81,63
53,"Coutinho",87,79,89,77,79,61,91,91,59,47
54,"Ángel Di María",85,80,86,86,78,64,79,90,72,53
55,"Diego Costa",74,84,76,78,85,91,52,58,64,82
56,"Edinson Cavani",77,81,76,79,90,74,59,82,88,88
57,"Radja Nainggolan",76,85,81,78,94,78,84,81,76,59
58,"Marcelo",75,76,77,80,82,77,82,77,77,70
59,"Claudio Marchisio",84,84,79,79,83,71,79,81,67,68
60,"Miranda",53,80,68,76,65,81,58,62,82,84
61,"Karim Benzema",85,82,79,82,74,78,60,77,70,78
62,"Cesc Fàbregas",91,92,65,62,80,64,77,65,68,74
63,"Franck Ribéry",86,86,85,79,64,60,91,88,50,41
64,"Santi Cazorla",85,88,75,65,72,59,91,85,70,58
65,"Andrea Barzagli",58,82,69,79,69,87,65,59,85,76
66,"Harry Kane",72,83,69,77,84,84,62,74,70,83
67,"Alexandre Lacazette",77,86,84,87,80,79,84,87,78,76
68,"Keylor Navas",54,49,54,53,39,75,61,60,74,11
